Action, Reward , Loss, Remaining length, Punto objetivo
############# EPISODIO 0#################
Punto alcanzado 
1, 2.39923192527287, 2.963803768157959, 10.370001391552293,[-18.  -8. -15.],[-28.76750946044922, -6.971755027770996, -16.36412811279297]
1, 2.2826518729102827, 4.693958759307861, 10.902173783786871,[-18.  -8. -15.],[-29.30718421936035, -7.101799011230469, -17.636547088623047]
1, 2.137630074175333, 2.7736220359802246, 11.64519474020529,[-18.  -8. -15.],[-29.840097427368164, -7.156915187835693, -18.83189582824707]
7, 1.9962858892942283, 4.620608806610107, 12.473256380296592,[-18.  -8. -15.],[-30.369115829467773, -7.182141304016113, -19.699743270874023]
7, 1.8786920452062756, 4.258100509643555, 13.257130385626912,[-18.  -8. -15.],[-30.897022247314453, -7.196794509887695, -19.174978256225586]
1, 1.834227117023032, 2.8448235988616943, 13.57971889793846,[-18.  -8. -15.],[-31.423864364624023, -7.2046589851379395, -18.208518981933594]
1, 1.8018174374421596, 2.3892159461975098, 13.824879596841802,[-18.  -8. -15.],[-31.949769973754883, -7.20752477645874, -19.033340454101562]
4, 1.7131780490131838, 2.8604369163513184, 14.542762272666506,[-18.  -8. -15.],[-32.47461700439453, -7.20884370803833, -19.996349334716797]
1, 1.6251600205058718, 2.8343803882598877, 15.333100546749925,[-18.  -8. -15.],[-33.001285552978516, -7.209689140319824, -20.312978744506836]
7, 1.564068526688761, 2.5642857551574707, 15.93395439420208,[-18.  -8. -15.],[-33.5240478515625, -7.210142612457275, -21.194103240966797]
7, 1.4896196478984183, 4.429193019866943, 16.732807635002963,[-18.  -8. -15.],[-34.04580307006836, -7.210537433624268, -20.687772750854492]
1, 1.4626423614052593, 2.5730085372924805, 17.04235330500124,[-18.  -8. -15.],[-34.566436767578125, -7.210865020751953, -19.72246551513672]
1, 1.4455500005537911, 4.188198566436768, 17.24445539097401,[-18.  -8. -15.],[-35.086212158203125, -7.21110200881958, -20.54627799987793]
7, 1.3864885290034863, 2.3603568077087402, 17.981162521025905,[-18.  -8. -15.],[-35.60495376586914, -7.211363315582275, -21.514162063598633]
3, 1.3271015854311732, 2.87099552154541, 18.788045462719825,[-18.  -8. -15.],[-36.11975860595703, -7.273866653442383, -21.404447555541992]
4, 1.2965459209199166, 4.399534702301025, 19.232001197660754,[-18.  -8. -15.],[-36.645687103271484, -7.714961528778076, -21.280553817749023]
1, 1.2672922244109737, 2.2459917068481445, 19.67709965266281,[-18.  -8. -15.],[-37.161643981933594, -8.0237398147583, -21.564809799194336]
4, 1.2312225396908454, 2.7160768508911133, 20.255021386529677,[-18.  -8. -15.],[-37.67926788330078, -8.14429759979248, -22.474163055419922]
1, 1.184760744517413, 2.343045949935913, 21.05130683827072,[-18.  -8. -15.],[-38.193115234375, -8.209514617919922, -22.750591278076172]
1, 1.1531112478903423, 4.309414386749268, 21.63047536240617,[-18.  -8. -15.],[-38.70596694946289, -8.232439994812012, -23.902441024780273]
1, 1.106692033152981, 2.1986780166625977, 22.539843652144718,[-18.  -8. -15.],[-39.22346115112305, -8.242591857910156, -25.05266571044922]
3, 1.062242895290735, 2.1948928833007812, 23.48510681110041,[-18.  -8. -15.],[-39.734214782714844, -8.275887489318848, -25.902027130126953]
1, 1.0259864900845261, 2.4086861610412598, 24.316792586070378,[-18.  -8. -15.],[-40.24296188354492, -8.606350898742676, -26.22865867614746]
1, 1.0010458958235, 2.5447514057159424, 24.923879923291636,[-18.  -8. -15.],[-40.76156234741211, -8.884565353393555, -27.41890525817871]
